,year,JD,ID,TimeDiff,AOD
2000-02-25 04:20:00,2000,056,20000560420,0.1506849315068493,1.082828125
2000-03-15 04:55:00,2000,075,20000750455,0.20273972602739726,1.2202763157894738
2000-03-16 03:55:00,2000,076,20000760355,0.2054794520547945,0.715515625
2000-03-21 04:15:00,2000,081,20000810415,0.2191780821917808,0.9413842794759826
2000-03-26 04:35:00,2000,086,20000860435,0.2328767123287671,0.34376106194690265
2000-03-27 03:40:00,2000,087,20000870340,0.2356164383561644,0.18391525423728813
2000-03-28 04:25:00,2000,088,20000880425,0.23835616438356164,0.5638913043478261
2000-03-31 04:55:00,2000,091,20000910455,0.2465753424657534,1.335484375
2001-02-09 04:30:00,2001,040,20010400430,1.1095890410958904,0.6720048780487805
2001-02-14 04:50:00,2001,045,20010450450,1.1232876712328768,0.548
2001-02-15 03:55:00,2001,046,20010460355,1.126027397260274,0.8218879668049792
2001-02-17 03:40:00,2001,048,20010480340,1.1315068493150684,1.046576
2001-02-21 03:15:00,2001,052,20010520315,1.1424657534246576,1.5422890625
2001-03-12 03:45:00,2001,071,20010710345,1.1945205479452055,0.4901209677419355
2001-03-13 04:30:00,2001,072,20010720430,1.1972602739726028,0.65058984375
2001-03-20 04:35:00,2001,079,20010790435,1.2164383561643837,0.22217578125
2001-03-21 03:40:00,2001,080,20010800340,1.2191780821917808,0.36311328125
2001-03-22 04:25:00,2001,081,20010810425,1.2219178082191782,0.50570703125
2001-03-26 04:00:00,2001,085,20010850400,1.2328767123287672,0.3460390625
2002-02-01 04:40:00,2002,032,20020320440,2.0876712328767124,0.8113203125
2002-02-04 03:30:00,2002,035,20020350330,2.095890410958904,0.6426767241379311
2002-02-05 04:15:00,2002,036,20020360415,2.0986301369863014,0.7625738396624473
2002-02-10 04:35:00,2002,041,20020410435,2.1123287671232878,0.3294453125
2002-02-12 04:20:00,2002,043,20020430420,2.117808219178082,1.03154296875
2002-03-01 03:25:00,2002,060,20020600325,2.164383561643836,1.1437418032786886
2002-03-07 04:25:00,2002,066,20020660425,2.180821917808219,0.40548046875
2002-03-08 03:30:00,2002,067,20020670330,2.1835616438356165,0.5787356828193833
2002-03-09 04:15:00,2002,068,20020680415,2.186301369863014,0.7148046875
2002-03-11 04:00:00,2002,070,20020700400,2.191780821917808,1.696296875
2002-03-19 03:15:00,2002,078,20020780315,2.213698630136986,1.1170078125
2002-04-01 04:20:00,2002,091,20020910420,2.249315068493151,0.8322265625
2003-02-07 03:30:00,2003,038,20030380330,3.1041095890410957,1.0206796875
2003-02-07 06:45:00,2003,038,20030380645,3.1041095890410957,0.8399907407407408
2003-02-09 06:30:00,2003,040,20030400630,3.1095890410958904,0.9207864583333334
2003-02-19 03:55:00,2003,050,20030500355,3.136986301369863,0.76898828125
2003-02-19 05:30:00,2003,050,20030500530,3.136986301369863,0.71003125
2003-02-21 06:55:00,2003,052,20030520655,3.1424657534246574,0.62146875
2003-02-22 04:25:00,2003,053,20030530425,3.1452054794520548,0.5298547717842325
2003-02-22 06:00:00,2003,053,20030530600,3.1452054794520548,0.479140625
2003-02-24 04:15:00,2003,055,20030550415,3.1506849315068495,0.7594453125
2003-02-24 05:50:00,2003,055,20030550550,3.1506849315068495,0.7088117647058823
2003-03-02 03:35:00,2003,061,20030610335,3.1671232876712327,1.010141129032258
2003-03-06 03:10:00,2003,065,20030650310,3.1780821917808217,0.937883408071749
2003-03-20 06:35:00,2003,079,20030790635,3.2164383561643834,0.4569291338582677
2003-03-27 06:40:00,2003,086,20030860640,3.2356164383561645,0.3771015625
2003-03-28 04:15:00,2003,087,20030870415,3.2383561643835614,0.4692578125
2003-03-28 05:45:00,2003,087,20030870545,3.2383561643835614,0.36352734375
2003-03-29 03:20:00,2003,088,20030880320,3.241095890410959,0.849734375
2003-03-29 06:30:00,2003,088,20030880630,3.241095890410959,1.0490992063492062
2003-03-30 04:00:00,2003,089,20030890400,3.243835616438356,1.3653098039215685
2003-03-30 05:35:00,2003,089,20030890535,3.243835616438356,1.1033194444444443
2004-02-13 04:00:00,2004,044,20040440400,4.120547945205479,0.86743359375
2004-02-13 05:35:00,2004,044,20040440535,4.120547945205479,0.9539041095890411
2004-02-15 03:50:00,2004,046,20040460350,4.126027397260274,1.1487421875
2004-02-15 07:00:00,2004,046,20040460700,4.126027397260274,0.957734375
2004-02-17 03:35:00,2004,048,20040480335,4.131506849315069,0.46887109375
