,year,JD,ID,TimeDiff,AOD
2000-02-25 10:55:00,2000,056,20000561055,0.1506849315068493,0.10795238095238095
2000-02-27 10:45:00,2000,058,20000581045,0.15616438356164383,0.19023809523809523
2000-02-28 11:30:00,2000,059,20000591130,0.1589041095890411,0.2431818181818182
2000-03-02 10:20:00,2000,062,20000621020,0.16712328767123288,0.11726315789473683
2000-03-02 12:00:00,2000,062,20000621200,0.16712328767123288,0.12795833333333334
2000-03-03 11:05:00,2000,063,20000631105,0.16986301369863013,0.09733333333333333
2000-03-04 11:45:00,2000,064,20000641145,0.1726027397260274,0.15713636363636363
2000-03-09 10:25:00,2000,069,20000691025,0.1863013698630137,0.17295
2000-03-09 12:05:00,2000,069,20000691205,0.1863013698630137,0.20469565217391303
2000-03-10 11:10:00,2000,070,20000701110,0.18904109589041096,0.15323809523809523
2000-03-11 11:55:00,2000,071,20000711155,0.1917808219178082,0.20017391304347826
2000-03-18 12:00:00,2000,078,20000781200,0.21095890410958903,0.191875
2000-04-05 11:50:00,2000,096,20000961150,0.2602739726027397,0.143875
2000-04-12 11:55:00,2000,103,20001031155,0.27945205479452057,0.1668421052631579
2000-04-15 10:45:00,2000,106,20001061045,0.2876712328767123,0.08257894736842106
2000-04-21 11:50:00,2000,112,20001121150,0.3041095890410959,0.09621739130434782
2000-04-24 10:40:00,2000,115,20001151040,0.31232876712328766,0.059454545454545454
2000-05-15 11:00:00,2000,136,20001361100,0.3698630136986301,0.09814285714285714
2000-05-30 11:55:00,2000,151,20001511155,0.410958904109589,0.13430434782608697
2000-05-31 11:00:00,2000,152,20001521100,0.4136986301369863,0.14466666666666667
2000-06-08 11:45:00,2000,160,20001601145,0.43561643835616437,0.1526818181818182
2000-06-09 10:50:00,2000,161,20001611050,0.4383561643835616,0.1641578947368421
2000-06-16 11:00:00,2000,168,20001681100,0.4575342465753425,0.0849090909090909
2000-06-18 10:45:00,2000,170,20001701045,0.46301369863013697,0.16595454545454547
2000-06-29 10:30:00,2000,181,20001811030,0.4931506849315068,0.32322727272727275
2000-07-04 10:45:00,2000,186,20001861045,0.5068493150684932,0.10868181818181818
2000-07-06 10:35:00,2000,188,20001881035,0.5123287671232877,0.35611764705882354
2000-07-13 10:40:00,2000,195,20001951040,0.5315068493150685,0.08309090909090909
2000-07-15 10:25:00,2000,197,20001971025,0.536986301369863,0.1015
2000-07-18 11:00:00,2000,200,20002001100,0.5452054794520548,0.11976470588235294
2000-07-20 10:45:00,2000,202,20002021045,0.5506849315068493,0.24359999999999998
2000-07-24 12:00:00,2000,206,20002061200,0.5616438356164384,0.19666666666666666
2000-07-26 11:45:00,2000,208,20002081145,0.5671232876712329,0.1419090909090909
2000-07-27 10:50:00,2000,209,20002091050,0.5698630136986301,0.16219999999999998
2000-07-31 10:25:00,2000,213,20002131025,0.5808219178082191,0.28715789473684206
2000-08-19 11:00:00,2000,232,20002321100,0.6328767123287671,0.26776190476190476
2000-08-25 12:00:00,2000,238,20002381200,0.6493150684931507,0.28325
2000-08-26 11:05:00,2000,239,20002391105,0.6520547945205479,0.1966190476190476
2000-08-27 11:45:00,2000,240,20002401145,0.6547945205479452,0.30775
2000-09-06 10:45:00,2000,250,20002501045,0.6821917808219178,0.17
2000-09-10 12:00:00,2000,254,20002541200,0.6931506849315069,0.12290909090909091
2000-09-11 11:05:00,2000,255,20002551105,0.6958904109589041,0.10945
2000-09-12 11:45:00,2000,256,20002561145,0.6986301369863014,0.20247368421052633
2000-09-15 10:40:00,2000,259,20002591040,0.7068493150684931,0.16486363636363638
2000-09-21 11:40:00,2000,265,20002651140,0.7232876712328767,0.06630434782608695
2000-09-22 10:45:00,2000,266,20002661045,0.726027397260274,0.14352380952380953
2000-10-01 10:40:00,2000,275,20002751040,0.7506849315068493,0.16194999999999998
2000-10-03 10:25:00,2000,277,20002771025,0.7561643835616438,0.08225
2000-10-04 11:10:00,2000,278,20002781110,0.7589041095890411,0.12342857142857143
2000-10-08 10:45:00,2000,282,20002821045,0.7698630136986301,0.29628571428571426
2000-10-11 11:15:00,2000,285,20002851115,0.7780821917808219,0.206
2000-10-13 11:05:00,2000,287,20002871105,0.7835616438356164,0.08670833333333333
2000-10-15 10:50:00,2000,289,20002891050,0.7890410958904109,0.12935
2000-10-17 10:40:00,2000,291,20002911040,0.7945205479452054,0.188
2000-10-18 11:20:00,2000,292,20002921120,0.7972602739726027,0.1414090909090909
2000-10-19 12:05:00,2000,293,20002931205,0.8,0.15734782608695652
2000-10-20 11:10:00,2000,294,20002941110,0.8027397260273973,0.12370833333333332
2000-10-26 10:30:00,2000,300,20003001030,0.8191780821917808,0.23566666666666666
2000-10-28 10:20:00,2000,302,20003021020,0.8246575342465754,0.21533333333333335
2000-10-28 12:00:00,2000,302,20003021200,0.8246575342465754,0.17979166666666666
2000-10-29 11:05:00,2000,303,20003031105,0.8273972602739726,0.17330434782608697
2000-11-01 11:35:00,2000,306,20003061135,0.8356164383561644,0.0715
2000-11-02 10:40:00,2000,307,20003071040,0.8383561643835616,0.05978260869565217
2000-11-03 11:20:00,2000,308,20003081120,0.8410958904109589,0.10154166666666667
2000-11-04 10:25:00,2000,309,20003091025,0.8438356164383561,0.05763636363636363
2000-11-04 12:05:00,2000,309,20003091205,0.8438356164383561,0.08083333333333333
2000-11-05 11:10:00,2000,310,20003101110,0.8465753424657534,0.09963636363636363
2000-11-09 10:45:00,2000,314,20003141045,0.8575342465753425,0.086375
2000-11-10 11:25:00,2000,315,20003151125,0.8602739726027397,0.09920833333333333
2000-11-14 11:00:00,2000,319,20003191100,0.8712328767123287,0.09404166666666668
2000-11-16 10:50:00,2000,321,20003211050,0.8767123287671232,0.108125
2000-11-17 11:35:00,2000,322,20003221135,0.8794520547945206,0.10233333333333333
2000-11-18 10:40:00,2000,323,20003231040,0.8821917808219178,0.06222727272727273
2000-11-19 11:20:00,2000,324,20003241120,0.8849315068493151,0.09058333333333334
2000-11-21 11:10:00,2000,326,20003261110,0.8904109589041096,0.1091304347826087
2000-11-22 11:50:00,2000,327,20003271150,0.8931506849315068,0.11161111111111112
2000-11-27 10:30:00,2000,332,20003321030,0.9068493150684932,0.07057142857142856
2000-11-30 11:00:00,2000,335,20003351100,0.915068493150685,0.07658333333333332
2000-12-01 11:45:00,2000,336,20003361145,0.9178082191780822,0.116125
2000-12-02 10:50:00,2000,337,20003371050,0.9205479452054794,0.08482608695652173
2000-12-09 10:55:00,2000,344,20003441055,0.9397260273972603,0.1535
2000-12-10 11:40:00,2000,345,20003451140,0.9424657534246575,0.11863636363636364
2000-12-11 10:45:00,2000,346,20003461045,0.9452054794520548,0.11386363636363636
2000-12-14 11:15:00,2000,349,20003491115,0.9534246575342465,0.0932608695652174
2000-12-17 11:45:00,2000,352,20003521145,0.9616438356164384,0.10033333333333333
2000-12-18 10:50:00,2000,353,20003531050,0.9643835616438357,0.11847826086956521
2000-12-19 11:30:00,2000,354,20003541130,0.9671232876712329,0.1165
2000-12-23 11:10:00,2000,358,20003581110,0.9780821917808219,0.10995652173913044
2000-12-25 10:55:00,2000,360,20003601055,0.9835616438356164,0.06270833333333334
2000-12-27 10:45:00,2000,362,20003621045,0.989041095890411,0.08433333333333333
2000-12-29 10:30:00,2000,364,20003641030,0.9945205479452055,0.0693181818181818
2001-01-07 10:25:00,2001,007,20010071025,1.0191780821917809,0.03942857142857143
2001-01-07 12:05:00,2001,007,20010071205,1.0191780821917809,0.06334782608695652
2001-01-08 11:05:00,2001,008,20010081105,1.021917808219178,0.083
2001-01-10 10:55:00,2001,010,20010101055,1.0273972602739727,0.12627777777777777
2001-01-14 10:30:00,2001,014,20010141030,1.0383561643835617,0.11920833333333333
2001-01-17 11:00:00,2001,017,20010171100,1.0465753424657533,0.10395833333333333
2001-01-19 10:50:00,2001,019,20010191050,1.0520547945205478,0.057458333333333333
2001-01-21 10:35:00,2001,021,20010211035,1.0575342465753426,0.072875
2001-01-28 10:45:00,2001,028,20010281045,1.0767123287671232,0.08908333333333333
2001-01-29 11:25:00,2001,029,20010291125,1.0794520547945206,0.071
2001-01-30 10:30:00,2001,030,20010301030,1.082191780821918,0.05965
2001-02-01 11:55:00,2001,032,20010321155,1.0876712328767124,0.0647391304347826
2001-02-02 11:00:00,2001,033,20010331100,1.0904109589041096,0.13085
2001-02-03 11:45:00,2001,034,20010341145,1.093150684931507,0.09316666666666668
2001-02-04 10:50:00,2001,035,20010351050,1.095890410958904,0.17682608695652174
2001-02-09 11:05:00,2001,040,20010401105,1.1095890410958904,0.13358333333333333
2001-02-10 11:50:00,2001,041,20010411150,1.1123287671232878,0.07233333333333333
2001-02-11 10:55:00,2001,042,20010421055,1.115068493150685,0.10260869565217391
2001-02-12 11:40:00,2001,043,20010431140,1.1178082191780823,0.0745
2001-02-13 10:45:00,2001,044,20010441045,1.1205479452054794,0.09480952380952382
2001-02-20 10:50:00,2001,051,20010511050,1.1397260273972603,0.1731904761904762
2001-02-21 11:30:00,2001,052,20010521130,1.1424657534246576,0.11604347826086957
2001-02-22 10:35:00,2001,053,20010531035,1.1452054794520548,0.08478260869565217
2001-02-26 11:50:00,2001,057,20010571150,1.1561643835616437,0.07495652173913044
2001-02-28 11:35:00,2001,059,20010591135,1.1616438356164382,0.09982608695652173
2001-03-05 11:55:00,2001,064,20010641155,1.1753424657534246,0.12295454545454546
2001-03-12 10:25:00,2001,071,20010711025,1.1945205479452055,0.10856521739130434
2001-03-12 12:00:00,2001,071,20010711200,1.1945205479452055,0.1462272727272727
2001-03-13 11:05:00,2001,072,20010721105,1.1972602739726028,0.06381818181818182
2001-03-14 11:50:00,2001,073,20010731150,1.2,0.11258333333333333
2001-03-19 10:30:00,2001,078,20010781030,1.2136986301369863,0.18504166666666666
2001-03-23 11:45:00,2001,082,20010821145,1.2246575342465753,0.2095
2001-03-26 10:35:00,2001,085,20010851035,1.2328767123287672,0.07983333333333333
2001-03-28 10:25:00,2001,087,20010871025,1.2383561643835617,0.11389473684210526
2001-03-31 10:55:00,2001,090,20010901055,1.2465753424657535,0.08382608695652173
2001-04-06 10:15:00,2001,096,20010961015,1.263013698630137,0.1806086956521739
2001-04-06 11:55:00,2001,096,20010961155,1.263013698630137,0.1584705882352941
2001-04-09 10:45:00,2001,099,20010991045,1.2712328767123289,0.1287391304347826
2001-04-11 10:35:00,2001,101,20011011035,1.2767123287671234,0.13620833333333335
