,year,JD,ID,TimeDiff,AOD
2000-03-18 10:20:00,2000,078,20000781020,0.21095890410958903,0.12583333333333332
2000-03-18 12:00:00,2000,078,20000781200,0.21095890410958903,0.186875
2000-04-05 11:50:00,2000,096,20000961150,0.2602739726027397,0.14329166666666665
2000-04-12 11:55:00,2000,103,20001031155,0.27945205479452057,0.17015789473684212
2000-04-15 10:45:00,2000,106,20001061045,0.2876712328767123,0.07884999999999999
2000-04-17 10:35:00,2000,108,20001081035,0.29315068493150687,0.17855555555555555
2000-04-21 11:50:00,2000,112,20001121150,0.3041095890410959,0.09004166666666667
2000-04-24 10:40:00,2000,115,20001151040,0.31232876712328766,0.06625
2000-05-15 11:00:00,2000,136,20001361100,0.3698630136986301,0.08642857142857142
2001-03-19 10:30:00,2001,078,20010781030,1.2136986301369863,0.18595833333333334
2001-03-23 11:45:00,2001,082,20010821145,1.2246575342465753,0.2076086956521739
2001-03-26 10:35:00,2001,085,20010851035,1.2328767123287672,0.079125
2001-03-28 10:25:00,2001,087,20010871025,1.2383561643835617,0.11745454545454545
2001-03-31 10:55:00,2001,090,20010901055,1.2465753424657535,0.08482608695652173
2001-04-06 10:15:00,2001,096,20010961015,1.263013698630137,0.1768695652173913
2001-04-06 11:55:00,2001,096,20010961155,1.263013698630137,0.15855000000000002
2001-04-09 10:45:00,2001,099,20010991045,1.2712328767123289,0.13533333333333333
2001-04-11 10:35:00,2001,101,20011011035,1.2767123287671234,0.13079166666666667
2001-04-13 10:25:00,2001,103,20011031025,1.2821917808219179,0.13243478260869565
2001-05-08 10:15:00,2001,128,20011281015,1.3506849315068492,0.21177777777777776
2001-05-08 11:55:00,2001,128,20011281155,1.3506849315068492,0.30076470588235293
2001-05-13 10:35:00,2001,133,20011331035,1.3643835616438356,0.22540909090909092
2002-03-15 10:15:00,2002,074,20020741015,2.202739726027397,0.07970833333333333
2002-03-15 11:50:00,2002,074,20020741150,2.202739726027397,0.07016666666666667
2002-03-17 11:40:00,2002,076,20020761140,2.208219178082192,0.094875
2002-03-31 11:50:00,2002,090,20020901150,2.2465753424657535,0.1943
2002-04-05 10:30:00,2002,095,20020951030,2.26027397260274,0.12795454545454546
2002-04-21 10:30:00,2002,111,20021111030,2.304109589041096,0.13272727272727272
2002-04-23 10:20:00,2002,113,20021131020,2.3095890410958906,0.18263636363636362
2002-04-25 11:45:00,2002,115,20021151145,2.315068493150685,0.19252173913043477
2002-04-26 10:50:00,2002,116,20021161050,2.317808219178082,0.1585238095238095
2002-04-30 10:25:00,2002,120,20021201025,2.328767123287671,0.262
2002-05-04 11:40:00,2002,124,20021241140,2.33972602739726,0.10577272727272727
2002-05-13 11:35:00,2002,133,20021331135,2.3643835616438356,0.10858333333333332
2002-05-14 10:40:00,2002,134,20021341040,2.367123287671233,0.118
2002-05-16 10:25:00,2002,136,20021361025,2.372602739726027,0.2341764705882353
2002-05-18 10:15:00,2002,138,20021381015,2.378082191780822,0.0720909090909091
2002-05-18 11:50:00,2002,138,20021381150,2.378082191780822,0.11055555555555556
2003-03-19 12:30:00,2003,078,20030781230,3.213698630136986,0.17284210526315788
2003-03-20 11:40:00,2003,079,20030791140,3.2164383561643834,0.15191666666666664
