,year,JD,ID,TimeDiff,AOD
2000-02-27 04:10:00,2000,058,20000580410,0.15616438356164383,1.9476434108527132
2000-02-28 04:50:00,2000,059,20000590450,0.1589041095890411,1.11769918699187
2000-03-01 04:40:00,2000,061,20000610440,0.1643835616438356,1.1405544554455447
2001-02-09 04:30:00,2001,040,20010400430,1.1095890410958904,0.29275221238938054
2001-02-15 03:55:00,2001,046,20010460355,1.126027397260274,0.8290707070707071
2001-02-20 04:15:00,2001,051,20010510415,1.1397260273972603,0.4401946902654867
2001-02-21 04:55:00,2001,052,20010520455,1.1424657534246576,0.4372882882882883
2001-02-28 03:25:00,2001,059,20010590325,1.1616438356164382,0.5134950495049505
2001-02-28 05:00:00,2001,059,20010590500,1.1616438356164382,0.3921354166666667
2001-03-02 04:50:00,2001,061,20010610450,1.167123287671233,0.7491692307692308
2002-02-06 03:20:00,2002,037,20020370320,2.1013698630136988,0.5512941176470588
2002-02-09 03:50:00,2002,040,20020400350,2.1095890410958904,0.39127586206896553
2002-02-11 03:40:00,2002,042,20020420340,2.115068493150685,0.7739807692307693
2002-02-12 04:20:00,2002,043,20020430420,2.117808219178082,0.5575438596491229
2002-02-14 04:10:00,2002,045,20020450410,2.1232876712328768,0.4932713178294574
2002-02-15 04:50:00,2002,046,20020460450,2.126027397260274,0.3456307692307692
2002-02-16 03:55:00,2002,047,20020470355,2.128767123287671,0.543741935483871
2002-02-18 03:45:00,2002,049,20020490345,2.1342465753424658,0.39149599999999996
2002-02-21 04:15:00,2002,052,20020520415,2.1424657534246574,0.843664
2002-02-22 03:20:00,2002,053,20020530320,2.1452054794520548,0.6333716814159291
2002-02-23 04:05:00,2002,054,20020540405,2.147945205479452,0.5879923076923077
2003-02-04 06:10:00,2003,035,20030350610,3.095890410958904,0.5372153846153847
2003-02-05 03:45:00,2003,036,20030360345,3.0986301369863014,0.5279692307692307
2003-02-05 06:55:00,2003,036,20030360655,3.0986301369863014,0.4422
2003-02-06 06:00:00,2003,037,20030370600,3.1013698630136988,0.4592935779816514
2003-02-07 03:30:00,2003,038,20030380330,3.1041095890410957,0.4962950819672131
2003-02-07 06:45:00,2003,038,20030380645,3.1041095890410957,0.2854923076923077
2003-02-08 05:50:00,2003,039,20030390550,3.106849315068493,0.5647583333333334
2003-02-10 04:00:00,2003,041,20030410400,3.1123287671232878,0.5179673913043479
2003-02-11 06:20:00,2003,042,20030420620,3.115068493150685,0.5664076923076923
2003-02-12 03:50:00,2003,043,20030430350,3.117808219178082,0.5834146341463414
2003-02-12 05:25:00,2003,043,20030430525,3.117808219178082,0.3652710280373832
2003-02-12 07:00:00,2003,043,20030430700,3.117808219178082,0.3072
2003-02-17 04:10:00,2003,048,20030480410,3.1315068493150684,0.5005660377358491
2003-02-18 06:25:00,2003,049,20030490625,3.1342465753424658,0.5746615384615384
2003-02-19 03:55:00,2003,050,20030500355,3.136986301369863,0.6530975609756098
2003-02-24 04:15:00,2003,055,20030550415,3.1506849315068495,0.43897297297297294
2003-02-28 03:50:00,2003,059,20030590350,3.1616438356164385,0.40788983050847455
2003-02-28 05:25:00,2003,059,20030590525,3.1616438356164385,0.33327419354838705
2003-02-28 07:00:00,2003,059,20030590700,3.1616438356164385,0.31902884615384614
2004-02-10 03:30:00,2004,041,20040410330,4.112328767123287,0.5597830188679245
2004-02-10 06:45:00,2004,041,20040410645,4.112328767123287,0.49081132075471695
2004-02-11 04:15:00,2004,042,20040420415,4.115068493150685,0.32446902654867255
2004-02-12 06:30:00,2004,043,20040430630,4.117808219178082,0.3242268907563025
2004-02-13 04:00:00,2004,044,20040440400,4.120547945205479,0.1241484375
2004-02-13 05:35:00,2004,044,20040440535,4.120547945205479,0.047292307692307696
2004-02-14 04:45:00,2004,045,20040450445,4.123287671232877,0.3002619047619048
2004-02-14 06:20:00,2004,045,20040450620,4.123287671232877,0.47233846153846154
2004-02-15 05:25:00,2004,046,20040460525,4.126027397260274,0.31646825396825395
2004-02-16 06:05:00,2004,047,20040470605,4.1287671232876715,0.5904433962264151
2004-02-17 03:35:00,2004,048,20040480335,4.131506849315069,0.3192307692307692
2004-02-17 06:50:00,2004,048,20040480650,4.131506849315069,0.057223076923076925
2004-02-18 04:20:00,2004,049,20040490420,4.134246575342465,0.33953846153846157
2004-02-18 05:55:00,2004,049,20040490555,4.134246575342465,0.38611538461538464
2004-02-21 03:10:00,2004,052,20040520310,4.142465753424657,0.5056307692307692
2004-02-21 04:50:00,2004,052,20040520450,4.142465753424657,0.40092
2004-02-21 06:25:00,2004,052,20040520625,4.142465753424657,0.42223809523809525
2004-02-22 03:55:00,2004,053,20040530355,4.145205479452055,0.5867322834645669
2004-02-22 05:30:00,2004,053,20040530530,4.145205479452055,0.36237692307692304
2004-02-23 04:40:00,2004,054,20040540440,4.147945205479452,0.38542857142857145
2004-02-23 06:15:00,2004,054,20040540615,4.147945205479452,0.3795607476635514
2004-02-24 06:55:00,2004,055,20040550655,4.1506849315068495,0.45407377049180325
2004-02-26 03:30:00,2004,057,20040570330,4.156164383561644,0.6010230769230769
2004-02-26 06:45:00,2004,057,20040570645,4.156164383561644,0.41690551181102364
2004-02-27 04:15:00,2004,058,20040580415,4.158904109589041,0.385248
2004-02-27 05:50:00,2004,058,20040580550,4.158904109589041,0.2993538461538462
2004-02-28 03:20:00,2004,059,20040590320,4.161643835616438,0.6383615384615384
2004-02-28 06:30:00,2004,059,20040590630,4.161643835616438,0.5637615384615384
2004-03-03 06:05:00,2004,063,20040630605,4.1726027397260275,0.9180603448275861
2005-02-04 05:55:00,2005,035,20050350555,5.098630136986301,0.6521162790697674
2005-02-07 03:10:00,2005,038,20050380310,5.1068493150684935,0.49245544554455445
2005-02-07 06:25:00,2005,038,20050380625,5.1068493150684935,0.5097477477477477
2005-02-10 06:55:00,2005,041,20050410655,5.115068493150685,0.4121574074074074
2005-02-11 04:25:00,2005,042,20050420425,5.117808219178082,0.43888181818181815
2005-02-12 03:30:00,2005,043,20050430330,5.120547945205479,0.6828125
2005-02-13 05:50:00,2005,044,20050440550,5.123287671232877,0.4956076923076923
2005-02-21 06:35:00,2005,052,20050520635,5.145205479452055,0.8144148936170212
2005-02-22 05:40:00,2005,053,20050530540,5.147945205479452,0.5102164948453608
2005-02-24 03:55:00,2005,055,20050550355,5.153424657534247,0.6071826923076923
2005-02-25 06:10:00,2005,056,20050560610,5.156164383561644,0.454311320754717
2005-03-04 04:45:00,2005,063,20050630445,5.175342465753425,0.24303999999999998
2005-03-04 06:20:00,2005,063,20050630620,5.175342465753425,0.3198095238095238
2006-02-13 06:55:00,2006,044,20060440655,6.123287671232877,0.8979217391304347
2006-03-02 06:00:00,2006,061,20060610600,6.16986301369863,0.5592886597938144
2006-03-03 06:45:00,2006,062,20060620645,6.1726027397260275,0.5032156862745097
2007-02-04 03:20:00,2007,035,20070350320,7.098630136986301,0.5814
2007-02-04 06:35:00,2007,035,20070350635,7.098630136986301,0.5461
2007-02-05 04:00:00,2007,036,20070360400,7.101369863013699,0.7500615384615384
2007-02-05 05:40:00,2007,036,20070360540,7.101369863013699,0.4980762711864407
2007-02-07 03:50:00,2007,038,20070380350,7.1068493150684935,1.3544049586776858
2007-02-07 05:25:00,2007,038,20070380525,7.1068493150684935,0.7169763779527559
2007-02-08 06:10:00,2007,039,20070390610,7.109589041095891,0.6664920634920635
2007-02-09 03:35:00,2007,040,20070400335,7.112328767123287,0.7383692307692308
2007-02-09 06:50:00,2007,040,20070400650,7.112328767123287,0.5971153846153846
2007-02-10 04:20:00,2007,041,20070410420,7.115068493150685,0.5801461538461539
2007-02-10 05:55:00,2007,041,20070410555,7.115068493150685,0.5709307692307692
2007-02-11 03:25:00,2007,042,20070420325,7.117808219178082,0.6011461538461539
2007-02-11 06:40:00,2007,042,20070420640,7.117808219178082,0.6135692307692308
2007-02-12 04:05:00,2007,043,20070430405,7.120547945205479,0.6936730769230769
2007-02-13 03:10:00,2007,044,20070440310,7.123287671232877,0.27666666666666667
