,year,JD,ID,TimeDiff,AOD
2000-02-25 10:55:00,2000,056,20000561055,0.1506849315068493,0.2503068783068783
2000-02-27 10:40:00,2000,058,20000581040,0.15616438356164383,0.03936507936507937
2000-02-29 10:30:00,2000,060,20000601030,0.16164383561643836,0.054023529411764706
2000-02-29 12:10:00,2000,060,20000601210,0.16164383561643836,0.1658549019607843
2000-03-01 11:15:00,2000,061,20000611115,0.1643835616438356,0.01356338028169014
2000-03-02 11:55:00,2000,062,20000621155,0.16712328767123288,0.06576763485477179
2000-03-03 11:00:00,2000,063,20000631100,0.16986301369863013,0.03577333333333333
2000-03-04 11:45:00,2000,064,20000641145,0.1726027397260274,0.08060493827160493
2000-03-06 11:30:00,2000,066,20000661130,0.1780821917808219,0.005109803921568627
2000-03-08 11:20:00,2000,068,20000681120,0.18356164383561643,0.14214611872146118
2000-03-09 12:00:00,2000,069,20000691200,0.1863013698630137,0.004949019607843138
2000-03-11 11:50:00,2000,071,20000711150,0.1917808219178082,0.15167510548523208
2000-03-12 10:55:00,2000,072,20000721055,0.19452054794520549,0.1298340807174888
2000-03-14 10:45:00,2000,074,20000741045,0.2,0.10639473684210526
2000-03-14 12:20:00,2000,074,20000741220,0.2,0.037588235294117645
2000-03-15 11:25:00,2000,075,20000751125,0.20273972602739726,0.010919148936170213
2000-03-16 10:30:00,2000,076,20000761030,0.2054794520547945,0.03731372549019608
2000-03-16 12:10:00,2000,076,20000761210,0.2054794520547945,0.0037372549019607845
2000-03-18 11:55:00,2000,078,20000781155,0.21095890410958903,0.11890588235294118
2000-03-19 11:00:00,2000,079,20000791100,0.2136986301369863,0.030444444444444444
2000-04-01 12:10:00,2000,092,20000921210,0.2493150684931507,0.15302008032128514
2000-04-11 11:10:00,2000,102,20001021110,0.27671232876712326,0.17245108695652175
2000-05-14 11:50:00,2000,135,20001351150,0.36712328767123287,0.08454237288135594
2000-05-16 11:40:00,2000,137,20001371140,0.3726027397260274,0.058062745098039215
2000-05-19 10:30:00,2000,140,20001401030,0.38082191780821917,0.11807843137254902
2000-05-19 12:10:00,2000,140,20001401210,0.38082191780821917,0.14355511811023622
2000-05-20 11:15:00,2000,141,20001411115,0.3835616438356164,0.10778139534883721
2000-05-30 11:50:00,2000,151,20001511150,0.410958904109589,0.03895141700404859
2000-05-31 10:55:00,2000,152,20001521055,0.4136986301369863,0.05591818181818182
2000-06-02 10:45:00,2000,154,20001541045,0.4191780821917808,0.12319026548672567
2000-06-02 12:20:00,2000,154,20001541220,0.4191780821917808,0.15404484304932733
2000-06-06 11:55:00,2000,158,20001581155,0.4301369863013699,0.02048627450980392
2000-06-07 11:00:00,2000,159,20001591100,0.4328767123287671,0.01685909090909091
2000-06-08 11:45:00,2000,160,20001601145,0.43561643835616437,0.009992156862745098
2000-06-11 12:15:00,2000,163,20001631215,0.4438356164383562,0.13048178137651822
2000-06-12 11:20:00,2000,164,20001641120,0.4465753424657534,0.011925233644859813
2000-06-13 12:05:00,2000,165,20001651205,0.44931506849315067,0.061556862745098036
2000-06-14 11:10:00,2000,166,20001661110,0.4520547945205479,0.13526976744186048
2000-06-15 11:50:00,2000,167,20001671150,0.4547945205479452,0.04112549019607843
2000-06-16 10:55:00,2000,168,20001681055,0.4575342465753425,0.07925925925925925
2000-06-17 11:40:00,2000,169,20001691140,0.4602739726027397,0.021560784313725493
2000-06-18 10:45:00,2000,170,20001701045,0.46301369863013697,0.12351440329218107
2000-06-18 12:20:00,2000,170,20001701220,0.46301369863013697,0.08629019607843137
2000-06-19 11:25:00,2000,171,20001711125,0.4657534246575342,0.033129411764705886
2000-06-21 11:15:00,2000,173,20001731115,0.4712328767123288,0.0887914691943128
2000-06-22 11:55:00,2000,174,20001741155,0.473972602739726,0.0743686274509804
2000-06-23 11:00:00,2000,175,20001751100,0.4767123287671233,0.026486238532110094
2000-06-24 11:45:00,2000,176,20001761145,0.4794520547945205,0.1277686274509804
2000-06-26 11:30:00,2000,178,20001781130,0.4849315068493151,0.07257874015748031
2000-06-28 11:20:00,2000,180,20001801120,0.4904109589041096,0.19296774193548388
2000-06-29 12:05:00,2000,181,20001811205,0.4931506849315068,0.0788
2000-06-30 11:10:00,2000,182,20001821110,0.4958904109589041,0.09405140186915888
2000-07-01 11:50:00,2000,183,20001831150,0.4986301369863014,0.05718110236220473
2000-07-04 10:45:00,2000,186,20001861045,0.5068493150684932,0.11903212851405623
2000-07-05 11:25:00,2000,187,20001871125,0.5095890410958904,0.045171673819742485
2000-07-06 10:30:00,2000,188,20001881030,0.5123287671232877,0.21413725490196078
2000-07-07 11:15:00,2000,189,20001891115,0.5150684931506849,0.10574089068825912
2000-07-08 11:55:00,2000,190,20001901155,0.5178082191780822,0.08853725490196078
2000-07-09 11:00:00,2000,191,20001911100,0.5205479452054794,0.16812350597609563
2000-07-12 11:30:00,2000,194,20001941130,0.5287671232876713,0.02462448979591837
2000-07-13 10:35:00,2000,195,20001951035,0.5315068493150685,0.032090196078431374
2000-07-13 12:15:00,2000,195,20001951215,0.5315068493150685,0.030964705882352943
2000-07-14 11:20:00,2000,196,20001961120,0.5342465753424658,0.07569958847736624
2000-07-15 12:05:00,2000,197,20001971205,0.536986301369863,0.016654901960784316
2000-07-16 11:10:00,2000,198,20001981110,0.5397260273972603,0.10298823529411764
2000-07-18 10:55:00,2000,200,20002001055,0.5452054794520548,0.1048156862745098
2000-07-19 11:40:00,2000,201,20002011140,0.547945205479452,0.0548235294117647
2000-07-20 10:45:00,2000,202,20002021045,0.5506849315068493,0.06141176470588235
2000-07-20 12:20:00,2000,202,20002021220,0.5506849315068493,0.12478039215686275
2000-07-22 10:30:00,2000,204,20002041030,0.5561643835616439,0.09468235294117648
2000-07-22 12:10:00,2000,204,20002041210,0.5561643835616439,0.07624313725490196
2000-07-26 11:45:00,2000,208,20002081145,0.5671232876712329,0.02916078431372549
2000-07-27 10:50:00,2000,209,20002091050,0.5698630136986301,0.058439215686274505
2000-07-28 11:30:00,2000,210,20002101130,0.5726027397260274,0.018209486166007906
2000-07-29 10:35:00,2000,211,20002111035,0.5753424657534246,0.12515573770491803
2000-07-29 12:15:00,2000,211,20002111215,0.5753424657534246,0.13171604938271606
2000-07-30 11:20:00,2000,212,20002121120,0.5780821917808219,0.24099567099567099
2000-07-31 12:00:00,2000,213,20002131200,0.5808219178082191,0.15715294117647058
2000-08-01 11:05:00,2000,214,20002141105,0.5835616438356165,0.3708825910931174
2000-08-02 11:50:00,2000,215,20002151150,0.5863013698630137,0.18785433070866142
2000-08-04 11:35:00,2000,217,20002171135,0.5917808219178082,0.0899484126984127
2000-08-05 10:40:00,2000,218,20002181040,0.5945205479452055,0.09370980392156862
2000-08-05 12:20:00,2000,218,20002181220,0.5945205479452055,0.09303529411764705
2000-08-19 10:55:00,2000,232,20002321055,0.6328767123287671,0.2506428571428571
2000-08-20 11:40:00,2000,233,20002331140,0.6356164383561644,0.11659919028340082
2000-08-21 10:45:00,2000,234,20002341045,0.6383561643835617,0.09327450980392157
2000-08-21 12:20:00,2000,234,20002341220,0.6383561643835617,0.08138039215686274
2000-08-22 11:25:00,2000,235,20002351125,0.6410958904109589,0.2019198312236287
2000-08-23 10:30:00,2000,236,20002361030,0.6438356164383562,0.09913725490196079
2000-08-23 12:10:00,2000,236,20002361210,0.6438356164383562,0.10471255060728746
2000-08-24 11:15:00,2000,237,20002371115,0.6465753424657534,0.16284063745019922
2000-08-28 10:50:00,2000,241,20002411050,0.6575342465753424,0.25887058823529413
2000-08-30 10:35:00,2000,243,20002431035,0.663013698630137,0.16690873015873015
2000-08-30 12:15:00,2000,243,20002431215,0.663013698630137,0.15400392156862744
2000-08-31 11:20:00,2000,244,20002441120,0.6657534246575343,0.2098825910931174
2000-09-01 12:05:00,2000,245,20002451205,0.6684931506849315,0.12249019607843137
2000-09-02 11:05:00,2000,246,20002461105,0.6712328767123288,0.12251383399209485
2000-09-03 11:50:00,2000,247,20002471150,0.673972602739726,0.13826666666666668
2000-09-04 10:55:00,2000,248,20002481055,0.6767123287671233,0.11852549019607844
2000-09-05 11:40:00,2000,249,20002491140,0.6794520547945205,0.1991106719367589
2000-09-06 10:45:00,2000,250,20002501045,0.6821917808219178,0.10580566801619433
2000-09-06 12:20:00,2000,250,20002501220,0.6821917808219178,0.11367450980392156
2000-09-07 11:25:00,2000,251,20002511125,0.684931506849315,0.12299601593625498
2000-09-08 10:30:00,2000,252,20002521030,0.6876712328767123,0.028607843137254903
2000-09-08 12:10:00,2000,252,20002521210,0.6876712328767123,0.05129803921568627
2000-09-09 11:15:00,2000,253,20002531115,0.6904109589041096,0.18651383399209487
2000-09-10 11:55:00,2000,254,20002541155,0.6931506849315069,0.22415686274509805
2000-09-11 11:00:00,2000,255,20002551100,0.6958904109589041,0.17105098039215688
2000-09-12 11:45:00,2000,256,20002561145,0.6986301369863014,0.26170196078431374
2000-09-13 10:50:00,2000,257,20002571050,0.7013698630136986,0.17381960784313724
2000-09-14 11:30:00,2000,258,20002581130,0.7041095890410959,0.15967716535433069
2000-09-15 10:35:00,2000,259,20002591035,0.7068493150684931,0.10736078431372549
2000-09-15 12:15:00,2000,259,20002591215,0.7068493150684931,0.09344705882352941
2000-09-16 11:20:00,2000,260,20002601120,0.7095890410958904,0.2423913043478261
2000-09-18 11:05:00,2000,262,20002621105,0.7150684931506849,0.17607450980392156
2000-09-21 11:40:00,2000,265,20002651140,0.7232876712328767,0.06888235294117646
2000-09-22 10:40:00,2000,266,20002661040,0.726027397260274,0.05369803921568627
2000-09-22 12:20:00,2000,266,20002661220,0.726027397260274,0.052752941176470586
2000-09-23 11:25:00,2000,267,20002671125,0.7287671232876712,0.21858536585365854
2000-09-25 11:15:00,2000,269,20002691115,0.7342465753424657,0.18880000000000002
2000-09-27 11:00:00,2000,271,20002711100,0.7397260273972602,0.12341176470588235
2000-10-02 11:20:00,2000,276,20002761120,0.7534246575342466,0.12812301587301586
2000-10-03 12:00:00,2000,277,20002771200,0.7561643835616438,0.06829019607843138
2000-10-06 10:55:00,2000,280,20002801055,0.7643835616438356,0.09463529411764707
2000-10-08 10:40:00,2000,282,20002821040,0.7698630136986301,0.0371764705882353
2000-10-08 12:20:00,2000,282,20002821220,0.7698630136986301,0.0414078431372549
2000-10-09 11:25:00,2000,283,20002831125,0.7726027397260274,0.13785039370078742
2000-10-10 12:10:00,2000,284,20002841210,0.7753424657534247,0.07083529411764705
2000-10-15 10:50:00,2000,289,20002891050,0.7890410958904109,0.09604313725490196
2000-10-16 11:30:00,2000,290,20002901130,0.7917808219178082,0.15029644268774703
2000-10-17 10:35:00,2000,291,20002911035,0.7945205479452054,0.04807843137254902
2000-10-17 12:15:00,2000,291,20002911215,0.7945205479452054,0.061772549019607846
2000-10-18 11:20:00,2000,292,20002921120,0.7972602739726027,0.19310245901639345
2000-10-23 11:35:00,2000,297,20002971135,0.810958904109589,0.15797254901960783
2000-10-25 11:25:00,2000,299,20002991125,0.8164383561643835,0.15273306772908368
2000-10-26 12:05:00,2000,300,20003001205,0.8191780821917808,0.132878431372549
2000-10-28 11:55:00,2000,302,20003021155,0.8246575342465754,0.09473333333333334
2000-10-31 10:45:00,2000,305,20003051045,0.8328767123287671,0.033725490196078435
2000-11-01 11:30:00,2000,306,20003061130,0.8356164383561644,0.12647791164658634
2000-11-09 10:40:00,2000,314,20003141040,0.8575342465753425,0.08950588235294117
