,year,JD,ID,TimeDiff,AOD
2000-02-26 03:25:00,2000,057,20000570325,0.15342465753424658,0.1880975
2000-02-27 04:10:00,2000,058,20000580410,0.15616438356164383,0.236035
2000-02-28 03:15:00,2000,059,20000590315,0.1589041095890411,0.7239380053908355
2000-02-29 03:55:00,2000,060,20000600355,0.16164383561643836,0.6175775
2000-03-05 04:15:00,2000,065,20000650415,0.17534246575342466,0.8149293785310734
2000-03-06 03:20:00,2000,066,20000660320,0.1780821917808219,0.2310670731707317
2000-03-08 03:10:00,2000,068,20000680310,0.18356164383561643,0.39126196473551633
2000-03-11 03:40:00,2000,071,20000710340,0.1917808219178082,1.1359127516778524
2000-03-12 04:20:00,2000,072,20000720420,0.19452054794520549,0.93449
2000-03-16 03:55:00,2000,076,20000760355,0.2054794520547945,0.7142729658792651
2000-03-19 02:50:00,2000,079,20000790250,0.2136986301369863,0.34735327635327634
2000-03-24 03:10:00,2000,084,20000840310,0.2273972602739726,0.6074579439252337
2000-03-26 02:55:00,2000,086,20000860255,0.2328767123287671,0.22086250000000002
2000-03-28 02:45:00,2000,088,20000880245,0.23835616438356164,0.2743697478991597
2000-03-28 04:20:00,2000,088,20000880420,0.23835616438356164,0.2276825
2000-03-29 03:25:00,2000,089,20000890325,0.2410958904109589,0.2829275
2000-03-30 04:10:00,2000,090,20000900410,0.24383561643835616,0.9168275
2000-03-31 03:15:00,2000,091,20000910315,0.2465753424657534,0.45613
2001-02-14 03:10:00,2001,045,20010450310,1.1232876712328768,0.5186975
2001-02-15 03:55:00,2001,046,20010460355,1.126027397260274,0.25659
2001-02-16 03:00:00,2001,047,20010470300,1.1287671232876713,0.4685775
2001-02-18 02:45:00,2001,049,20010490245,1.1342465753424658,0.7810325
2001-02-19 03:30:00,2001,050,20010500330,1.1369863013698631,1.1640175
2001-02-21 03:15:00,2001,052,20010520315,1.1424657534246576,0.55959
2001-02-24 03:50:00,2001,055,20010550350,1.1506849315068493,0.65512
2001-02-25 02:50:00,2001,056,20010560250,1.1534246575342466,0.54112
2001-03-01 04:05:00,2001,060,20010600405,1.1643835616438356,0.18542250000000002
2001-03-03 03:55:00,2001,062,20010620355,1.16986301369863,0.3559671717171717
2001-03-04 03:00:00,2001,063,20010630300,1.1726027397260275,0.3268025
2001-03-08 04:10:00,2001,067,20010670410,1.1835616438356165,0.19230250000000002
2001-03-09 03:15:00,2001,068,20010680315,1.1863013698630136,0.31831076923076923
2001-03-10 04:00:00,2001,069,20010690400,1.189041095890411,0.5631975
2001-03-11 03:05:00,2001,070,20010700305,1.1917808219178083,0.5814101876675604
2001-03-12 03:45:00,2001,071,20010710345,1.1945205479452055,0.4673525
2001-03-17 04:05:00,2001,076,20010760405,1.2082191780821918,0.3955948717948718
2001-03-20 03:00:00,2001,079,20010790300,1.2164383561643837,1.2168518518518519
2001-03-21 03:40:00,2001,080,20010800340,1.2191780821917808,0.5563049999999999
2001-03-27 03:05:00,2001,086,20010860305,1.2356164383561643,1.1171568047337277
2001-03-28 03:45:00,2001,087,20010870345,1.2383561643835617,0.4391375
2001-03-29 02:50:00,2001,088,20010880250,1.2410958904109588,0.2301875
2001-03-30 03:35:00,2001,089,20010890335,1.2438356164383562,0.37647250000000004
2001-03-31 02:40:00,2001,090,20010900240,1.2465753424657535,0.6269225
2001-03-31 04:15:00,2001,090,20010900415,1.2465753424657535,0.6120825
2001-04-01 03:20:00,2001,091,20010910320,1.2493150684931507,0.30967500000000003
2002-02-01 03:00:00,2002,032,20020320300,2.0876712328767124,0.17652500000000002
2002-02-02 03:45:00,2002,033,20020330345,2.0904109589041098,0.218235
2002-02-04 03:30:00,2002,035,20020350330,2.095890410958904,0.805545
2002-02-05 02:35:00,2002,036,20020360235,2.0986301369863014,0.48167750000000004
2002-02-07 04:00:00,2002,038,20020380400,2.1041095890410957,0.6440468227424749
2002-02-10 02:55:00,2002,041,20020410255,2.1123287671232878,0.47128
2002-02-12 02:40:00,2002,043,20020430240,2.117808219178082,0.25961
2002-02-17 03:00:00,2002,048,20020480300,2.1315068493150684,0.3727225
2002-02-23 04:00:00,2002,054,20020540400,2.147945205479452,0.519555
2002-02-28 02:40:00,2002,059,20020590240,2.1616438356164385,0.60346
2002-03-06 03:45:00,2002,065,20020650345,2.1780821917808217,0.30433
2002-03-07 02:50:00,2002,066,20020660250,2.180821917808219,0.3911475
2002-03-08 03:30:00,2002,067,20020670330,2.1835616438356165,0.54479
2002-03-09 02:35:00,2002,068,20020680235,2.186301369863014,0.614085
2002-03-12 03:05:00,2002,071,20020710305,2.1945205479452055,1.2761125
2002-03-14 02:55:00,2002,073,20020730255,2.2,0.5713733333333333
2002-03-18 02:30:00,2002,077,20020770230,2.210958904109589,0.639108179419525
2002-03-19 03:15:00,2002,078,20020780315,2.213698630136986,0.48122750000000003
2002-03-29 03:50:00,2002,088,20020880350,2.241095890410959,0.8006897506925208
2002-03-30 02:55:00,2002,089,20020890255,2.243835616438356,0.6384650000000001
2002-03-31 03:35:00,2002,090,20020900335,2.2465753424657535,0.3413
2002-04-01 02:40:00,2002,091,20020910240,2.249315068493151,0.7461875
2003-02-01 05:40:00,2003,032,20030320540,3.0876712328767124,1.0517075
